分類,ファイル,タイムコード,ID,原文(英語),現在の訳,論点・代替案,質問,回答（記入）,備考
表記・読み,,,,Caine,ケイン,,この表記・読みでよいですか？（他案があれば回答欄に）,,他案: ケーン。大仰なショーマンAI主宰者
表記・読み,,,,Pomni,ポムニ,,この表記・読みでよいですか？（他案があれば回答欄に）,,
表記・読み,,,,Ragatha,ラガタ,,この表記・読みでよいですか？（他案があれば回答欄に）,,※ラガサ→ラガタに修正済み。愛称 Raggy=ラギー
表記・読み,,,,Jax,ジャックス,,この表記・読みでよいですか？（他案があれば回答欄に）,,他案: ジャクス
表記・読み,,,,Gangle,ガングル,,この表記・読みでよいですか？（他案があれば回答欄に）,,
表記・読み,,,,Kinger,キンガー,,この表記・読みでよいですか？（他案があれば回答欄に）,,
表記・読み,,,,Zooble,ズーブル,,この表記・読みでよいですか？（他案があれば回答欄に）,,gender: they/them（性別語尾は使わない方針）
表記・読み,,,,Bubble,バブル,,この表記・読みでよいですか？（他案があれば回答欄に）,,
表記・読み,,,,Gummigoo,グミグー,,この表記・読みでよいですか？（他案があれば回答欄に）,,他案: ガミグー。ep04の山賊
表記・読み,,,,Ribbit,リビット,,この表記・読みでよいですか？（他案があれば回答欄に）,,ep09回想のJaxの旧友
表記・読み,,,,Kaufmo,カフモ,,この表記・読みでよいですか？（他案があれば回答欄に）,,※カウフモ→カフモに修正済み
表記・読み,,,,Gloink,グローインク,,この表記・読みでよいですか？（他案があれば回答欄に）,,※グロインク→グローインクに修正済み
表記・読み,,,,abstraction,アブストラクション,,この表記・読みでよいですか？（他案があれば回答欄に）,,自我崩壊。動詞: アブストラクションする
表記・読み,,,,the Void,ボイド,,この表記・読みでよいですか？（他案があれば回答欄に）,,他案: 虚無
表記・読み,,,,macroverse,マクロバース,,この表記・読みでよいですか？（他案があれば回答欄に）,,他案: 大宇宙/マクロ世界
表記規約,,,句点「。」,,使わない（例:「私の名はケイン」）,他案: 文末に。を付ける,句点なしでよいですか？,,
表記規約,,,読点,,全角スペースで区切る（例:「ようこそ　アメイジング…」）,他案: 読点「、」を使う,全角スペースでよいですか？,,
表記規約,,,！？,,全角,他案: 半角,全角でよいですか？,,
表記規約,,,三点リーダー,,「…」1個,他案: 「……」2個,これでよいですか？,,
表記規約,,,中断・ダッシュ,,「―」（例:「聞いて―」）,,これでよいですか？,,
表記規約,,,画面外音声・電話・放送,,山括弧〈　〉,他案: 丸括弧（）/ 区別しない,〈〉でよいですか？,,
表記規約,,,心内語・モノローグ,,丸括弧（　）,他案: 「」/ 区別しない,（）でよいですか？,,
表記規約,,,歌詞,,♪ で前後を挟む,,これでよいですか？,,
表記規約,,,効果音・ト書き [xxx],,全削除（純SFX行は空欄。※ご指摘で削除済み）,他案: ［日本語ト書き］に戻す / 空欄行ごと削除,この方針でよいですか？,,
表記規約,,,複数話者が同一字幕,,行頭に「-」（例:「A？\n-B！」）,,これでよいですか？,,
表記規約,,,数字,,"半角（例: 25, 300）",他案: 漢数字,これでよいですか？,,
口調サンプル,ep02,00:00:58,21,Looks like our new friend's already abstracted.,新入りは もうアブストラクションしたようだ,一人称「私」・大仰なショーマン口調（敬語ではない）,このキャラの口調はこの方向でよいですか？（違和感や他案があれば）,,
口調サンプル,ep03,00:01:03,28,Because something different happens with everyone!,人によって 起きることが違うのさ！,同上。断定・煽り,このキャラの口調はこの方向でよいですか？（違和感や他案があれば）,,
口調サンプル,ep03,00:00:15,5,I can't hold it any longer.,もう　限界かも…,不安げ・戸惑い。断言を避け言いさし（吃音は保持）,このキャラの口調はこの方向でよいですか？（違和感や他案があれば）,,
口調サンプル,ep02,00:03:00,60,"So, our entire existence here...",つまり　ここでの存在って…,同上,このキャラの口調はこの方向でよいですか？（違和感や他案があれば）,,
口調サンプル,ep02,00:01:30,27,"Hey, Pomni. How'd you sleep?",おはよう　ポムニ よく眠れた？,面倒見役・温かい常体（ね/でしょ）,このキャラの口調はこの方向でよいですか？（違和感や他案があれば）,,
口調サンプル,ep03,00:00:18,7,"We can't die from oxygen deprivation, remember?",酸欠じゃ　死なないでしょ？,同上,このキャラの口調はこの方向でよいですか？（違和感や他案があれば）,,
口調サンプル,ep04,00:00:19,7,"You're wasting your time, Raggy.",時間の無駄だぜ　ラギー,一人称「俺」・ぶっきらぼう/皮肉（だぜ/だな）。※ep9とEvil Jaxは例外,このキャラの口調はこの方向でよいですか？（違和感や他案があれば）,,
口調サンプル,ep03,00:00:26,10,I wanna see what your funny cartoon body would...,お前の 変な体がどうなるか見たいだけ,同上・人を食った物言い,このキャラの口調はこの方向でよいですか？（違和感や他案があれば）,,
